add-c,8,100,1600,342470,214,0
add-c,8,1000,16000,1148383,71,11
add-c,8,10000,160000,11764002,73,-4
add-c,12,10,240,461333,1922,0
add-c,12,20,480,424771,884,0
add-c,12,40,960,402312,419,0
add-c,12,80,1920,401650,209,0
add-c,12,100,2400,389167,162,0
add-c,12,1000,24000,2160426,90,9
add-c,12,10000,240000,19915046,82,12
add-yield-m,1,10,20,214828,10741,0
add-yield-m,1,20,40,152210,3805,0
add-yield-m,1,40,80,236086,2951,0
add-yield-m,1,80,160,240239,1501,0
add-yield-m,1,100,200,318866,1594,0
add-yield-m,1,1000,2000,1434376,717,0
add-yield-m,1,10000,20000,12478680,623,0
add-yield-m,2,10,40,168309,4207,0
add-yield-m,2,20,80,253843,3173,0
add-yield-m,2,40,160,354988,2218,0
add-yield-m,2,80,320,462427,1445,0
add-yield-m,2,100,400,581917,1454,0
add-yield-m,2,1000,4000,4457306,1114,0
add-yield-m,2,10000,40000,42833085,1070,0
add-yield-m,4,10,80,221568,2769,0
add-yield-m,4,20,160,387683,2423,0
add-yield-m,4,40,320,1143546,3573,0
add-yield-m,4,80,640,1086492,1697,0
add-yield-m,4,100,800,1251347,1564,0
add-yield-m,4,1000,8000,10939032,1367,0
add-yield-m,4,10000,80000,99229340,1240,0
add-yield-m,8,10,160,382394,2389,0
add-yield-m,8,20,320,612322,1913,0
add-yield-m,8,40,640,1147218,1792,0
add-yield-m,8,80,1280,2062643,1611,0
add-yield-m,8,100,1600,2522977,1576,0
add-yield-m,8,1000,16000,24620185,1538,0
add-yield-m,8,10000,160000,240139458,1500,0
add-yield-m,12,10,240,529241,2205,0
add-yield-m,12,20,480,899149,1873,0
add-yield-m,12,40,960,1697945,1768,0
add-yield-m,12,80,1920,3201673,1667,0
add-yield-m,12,100,2400,3646170,1519,0
add-yield-m,12,1000,24000,37515260,1563,0
add-yield-m,12,10000,240000,364861693,1520,0
add-yield-s,1,10,20,159132,7956,0
add-yield-s,1,20,40,153713,3842,0
add-yield-s,1,40,80,194989,2437,0
add-yield-s,1,80,160,275079,1719,0
add-yield-s,1,100,200,270420,1352,0
add-yield-s,1,1000,2000,1451347,725,0
add-yield-s,2,10,40,184806,4620,0
add-yield-s,2,20,80,213789,2672,0
add-yield-s,2,40,160,254410,1590,0
add-yield-s,2,80,320,369451,1154,0
add-yield-s,2,100,400,448819,1122,0
add-yield-s,2,1000,4000,2992245,748,0
add-yield-s,4,10,80,281497,3518,0
add-yield-s,4,20,160,313484,1959,0
add-yield-s,4,40,320,540414,1688,0
add-yield-s,4,80,640,899666,1405,0
add-yield-s,4,100,800,1175109,1468,0
add-yield-s,4,1000,8000,7019219,877,0
add-yield-s,8,10,160,337829,2111,0
add-yield-s,8,20,320,499220,1560,0
add-yield-s,8,40,640,1016906,1588,0
add-yield-s,8,80,1280,2175561,1699,0
add-yield-s,8,100,1600,2517387,1573,0
add-yield-s,8,1000,16000,27508920,1719,0
add-yield-s,12,10,240,466813,1945,0
add-yield-s,12,20,480,978410,2038,0
add-yield-s,12,40,960,1782807,1857,0
add-yield-s,12,80,1920,3414510,1778,0
add-yield-s,12,100,2400,5111255,2129,0
add-yield-s,12,1000,24000,45157713,1881,0
add-yield-c,1,10,20,161399,8069,0
add-yield-c,1,20,40,165496,4137,0
add-yield-c,1,40,80,162998,2037,0
add-yield-c,1,80,160,166885,1043,0
add-yield-c,1,100,200,162660,813,0
add-yield-c,1,1000,2000,197734,98,0
add-yield-c,1,10000,20000,541306,27,0
add-yield-c,2,10,40,171334,4283,0
add-yield-c,2,20,80,161879,2023,0
add-yield-c,2,40,160,172964,1081,0
add-yield-c,2,80,320,173513,542,0
add-yield-c,2,100,400,168880,422,0
add-yield-c,2,1000,4000,330854,82,0
add-yield-c,2,10000,40000,1611890,40,0
add-yield-c,4,10,80,174861,2185,0
add-yield-c,4,20,160,189144,1182,0
add-yield-c,4,40,320,248426,776,0
add-yield-c,4,80,640,219657,343,0
add-yield-c,4,100,800,213050,266,0
add-yield-c,4,1000,8000,603290,75,0
add-yield-c,4,10000,80000,4796224,59,-3
add-yield-c,8,10,160,1598567,9991,0
add-yield-c,8,20,320,303618,948,0
add-yield-c,8,40,640,340571,532,0
add-yield-c,8,80,1280,306029,239,0
add-yield-c,8,100,1600,314561,196,0
add-yield-c,8,1000,16000,1388783,86,-5
add-yield-c,8,10000,160000,12165595,76,0
add-yield-c,12,10,240,446658,1861,0
add-yield-c,12,20,480,477779,995,0
add-yield-c,12,40,960,387962,404,0
add-yield-c,12,80,1920,443256,230,0
add-yield-c,12,100,2400,398053,165,0
add-yield-c,12,1000,24000,2043628,85,2
add-yield-c,12,10000,240000,19767373,82,-6
